,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
63487,63487,6q1JPqO9WYataWmpEJl5EL,トライセラトップス,TRICERATOPS GREATEST 1997-2001,FEVER,35,334040,False,0.528,0.865,8,-5.513,0,0.0363,0.0249,2.22e-06,0.195,0.6,124.33,4,j-rock
77616,77616,57g8YWAbS8dxuTqViBVsfg,Unha Pintada,"Minha Mente, Mente","Minha Mente, Mente",45,186137,False,0.699,0.709,2,-6.868,1,0.0362,0.219,0.0,0.236,0.724,137.035,4,pagode
90489,90489,6doUGUOIEIUlUTmAeAPxl7,Enrique Guzman,La Gran Colección del 60 Aniversario CBS - Enrique Guzmán,Vida,32,170600,False,0.246,0.626,1,-7.63,1,0.0421,0.149,0.0,0.636,0.631,118.142,4,rock-n-roll
51300,51300,1zi7xx7UVEFkmKfv06H8x0,Drake;Wizkid;Kyla,Views,One Dance,85,173986,False,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4,hip-hop
8787,8787,63btWYDuDqq9RvF6I9eqSO,Tommy Bolin,Teaser,Savannah Woman,33,167933,False,0.56,0.657,9,-7.147,0,0.0335,0.554,0.048,0.101,0.808,119.399,4,blues
67952,67952,4MloswMM3eu7dHZ7MOzW3i,Enrique Iglesias,Insomniac (New International Version Spanish),Do You Know? (The Ping Pong Song),55,218053,False,0.755,0.765,8,-4.328,1,0.0486,0.0503,0.0,0.0326,0.691,114.993,4,latin
67796,67796,63LEOoSzRvECYNQ5M69rif,Paulina Rubio,Retro Baladas,Ni Una Sola Palabra,0,232066,False,0.76,0.827,5,-4.015,0,0.029,0.046,0.0,0.109,0.633,130.321,4,latin
110861,110861,32aKImKoiukzUxnWENXJXb,W&W;Sandro Silva;Justin Prime,This Is Our Legacy,This Is Our Legacy,52,159404,False,0.669,0.979,7,-2.07,0,0.0997,0.032,0.208,0.293,0.534,128.019,4,trance
73768,73768,6tK8vlUpvzMdd1iEQ0St4t,Stephan Bodzin;Solomun,Boavista Remixes,Rose - Solomun Remix,33,420400,False,0.701,0.725,5,-10.783,1,0.0535,0.0614,0.773,0.0633,0.38,127.989,4,minimal-techno
66136,66136,2XQzNolwlP2eH2ejLlUcem,Desmond Dennis,Cool Kids Jams,Daddy Minion,18,186280,False,0.698,0.697,6,-9.292,1,0.0325,0.0239,1.71e-06,0.389,0.903,139.973,4,kids
78861,78861,3tlIBnrjzrXGJlPRNFSiCN,Wolfgang Petry,Sehnsucht nach Dir,Wenn Du mich brauchst,25,234826,False,0.702,0.804,9,-9.706,1,0.0304,0.198,0.0,0.169,0.83,114.027,4,party
81166,81166,0TK2YIli7K1leLovkQiNik,Shawn Mendes;Camila Cabello,Señorita,Señorita,81,190960,False,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,4,pop
57754,57754,2ek8eVDHsdmzPHIhyVNJJe,Sajjan Raj Vaidya,Parkhaai,Parkhaai,48,240500,False,0.658,0.28,5,-10.421,1,0.0325,0.815,0.000794,0.28,0.337,119.979,4,indie
44435,44435,4FzrCRil9uGpGGsnnM0vkE,Creed,Weathered,Don't Stop Dancing,61,272866,False,0.347,0.576,7,-4.701,1,0.0322,0.00645,0.0,0.342,0.139,137.622,4,grunge
72364,72364,2Pf0u0mhGSxayM79Vy4LoT,Of Virtue,Sinner,Sinner,54,193738,True,0.579,0.773,5,-4.036,0,0.0318,0.000781,0.0,0.41,0.533,90.978,4,metalcore
71683,71683,3Gbyl3XZVeEcnFPiiPR09n,Alter Bridge,One Day Remains,Open Your Eyes,58,298600,False,0.356,0.904,2,-3.953,1,0.0624,0.000244,1.75e-06,0.359,0.38,162.397,4,metal
66178,66178,4D4oe4adgs7PG0lHKEmyIk,Koo Koo Kanga Roo,Whoopty Whoop,Pogo,16,154894,False,0.737,0.597,3,-6.489,1,0.125,0.00531,0.0,0.205,0.81,125.979,3,kids
38699,38699,6YW9L7S2Kc0fxYLzwCx3ba,Poison Idea,Feel the Darkness (2018 Reissue),Plastic Bomb,28,186493,False,0.186,0.995,5,-4.54,1,0.168,5.86e-05,0.0286,0.273,0.138,168.235,4,garage
106276,106276,119Sgtc1MerbDD4k5hKRFH,Norlie & KKV;Benjamin Ingrosso,LUGNA HITS,Som ett minne blott,0,191445,False,0.75,0.736,4,-5.968,0,0.0425,0.0458,0.0,0.26,0.535,105.017,4,swedish
105323,105323,0KxU1WQidDDjwDbTm0YW4b,Jolly Jordan,Horizon mind,Horizon mind,38,196918,False,0.613,0.386,0,-14.54,1,0.0374,0.203,0.891,0.273,0.51,86.039,4,study
99253,99253,3DwDpL9QpO5gqPFuHZXUx9,Samar Mehdi,Sukoon,Sukoon,44,184500,False,0.285,0.315,11,-10.124,1,0.0344,0.79,3.67e-05,0.096,0.175,79.886,4,singer-songwriter
109777,109777,7vvueB2jpNbhWCbwuh4DtE,Talla 2XLC;Junk Project,Chaiyya Chaiyya,Chaiyya Chaiyya,29,206956,False,0.663,0.952,11,-5.81,0,0.0434,0.00268,0.146,0.345,0.0765,136.028,4,techno
43837,43837,7hMVylWAPWjOmOuwoEJhDo,Templo Soul;AO Cubo,Ao Vivo,Venha Filho Meu - Ao Vivo,23,392266,False,0.65,0.765,7,-8.33,0,0.0946,0.169,0.0,0.954,0.677,130.053,4,groove
81530,81530,6Pf2T6xvc8C0lWrkg0yUFc,Thaman S;Shreya Ghoshal;Chiranjeevi;Salman Khan,"Thaar Maar Thakkar Maar (From ""God Father"")",Thaar Maar Thakkar Maar,66,267727,False,0.783,0.942,11,-4.371,0,0.0815,0.176,2.01e-06,0.175,0.908,132.028,4,pop
99758,99758,4kcnySwaXAKatz4c5U8MSI,Noah Reid,"Simply the Best (From ""Schitt's Creek"")","Simply the Best (From ""Schitt's Creek"")",53,177918,False,0.441,0.138,11,-12.136,1,0.0352,0.93,0.00023,0.105,0.119,85.492,4,singer-songwriter
112492,112492,5DTfCqhcur6JkArL80B5iQ,Mode XL,"Organize Oluyoruz, Vol. 3",Eski Bi' Numara,41,118700,False,0.777,0.723,11,-7.261,0,0.109,0.37,0.00661,0.125,0.595,111.056,4,turkish
9130,9130,5h7e9eHY6RnP617D9zzzKb,Gerson Rufino,Sobrevivi,Vai Passar,51,332933,False,0.526,0.555,4,-4.789,1,0.0262,0.037,0.0,0.14,0.223,136.008,4,brazil
42909,42909,7ICg4DOGa1ibgvX5vt8ukD,No/Más,Consume / Deny / Repent,Ciego,12,99166,False,0.246,0.985,9,-3.361,1,0.227,4.99e-06,0.479,0.316,0.219,150.492,4,grindcore
60189,60189,6zsTrRfVRqG4atLD4VT1Zs,Vybz Kartel,Pon Di Gaza 2.0,Without My Own,27,159720,False,0.484,0.726,8,-5.022,1,0.283,0.0158,0.0,0.213,0.398,109.338,4,j-dance
90297,90297,3nS9QzPMWIbqUbGvIrA0I8,Estela Nuñez,RCA 100 Anos De Musica - Segunda Parte,Por Amores Como Tú,36,260173,False,0.31,0.38,7,-12.09,1,0.0405,0.809,0.0024,0.432,0.292,145.58,4,rock-n-roll
49755,49755,3vWmznF5x4E0HFVbfJ1xuf,Sins Of Insanity,DROP IT,DROP IT,21,168375,False,0.546,0.931,1,-3.343,1,0.0851,0.0165,1.18e-05,0.36,0.449,159.959,4,hardstyle
56538,56538,0393PMIQFV9pewSmxoWwXw,Fitz and The Tantrums,US Pop 20s,Sway,0,136940,False,0.705,0.927,1,-2.701,1,0.0776,0.0327,0.0,0.0705,0.945,159.978,4,indie-pop
60181,60181,34fAFal5MCnRHnEZoV9OJa,Chronic Law,Press It Up,Press It Up,27,214717,True,0.685,0.695,9,-7.714,1,0.454,0.152,0.0,0.368,0.791,105.561,4,j-dance
97161,97161,4jd5ASxC2M8Xh4rHNAcLLV,Jads & Jadson,Diamante Bruto,Noite Fracassada,50,190946,False,0.487,0.853,6,-3.507,1,0.11,0.294,0.0,0.164,0.834,157.541,4,sertanejo
40469,40469,5WY4MDW9o3Tv4mJYZgVlXD,Isadora Pompeo,Pra Te Contar Os Meus Segredos (Ao Vivo),Grito Dos Apaixonados - Ao Vivo,41,244613,False,0.578,0.772,2,-6.399,1,0.0409,0.00633,5.38e-06,0.597,0.445,144.801,4,gospel
53580,53580,1aZwqRn7uItXDwUXemABBc,Nathan Dawe;Ella Henderson,Hot Mix Pop,21 Reasons,1,155253,False,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,4,house
105878,105878,0Y8P2H4bpffasm29zQX9yp,Timothy Infinite,Campsite Snoozin,Recline,23,146865,False,0.824,0.549,10,-7.148,0,0.103,0.735,0.92,0.112,0.104,133.999,3,study
1448,1448,01zkbVsJQrtL1kwefeULG8,Juanafé,Afrorumba Chilenera,El Que Te Quiere Te Quiere,21,211576,False,0.722,0.904,7,-5.661,1,0.157,0.451,1.19e-06,0.0949,0.783,93.94,4,afrobeat
13165,13165,5U1yg4hYNKKOcxwDdmr4BE,Romanthony,"Let Me Show You Love (Classic 12"")",Let Me Show You Love - Crooklyn Mix,14,263401,False,0.886,0.415,0,-9.776,1,0.475,0.0077,2.08e-06,0.109,0.743,121.045,4,chicago-house
51862,51862,43CLNfvNyalChk97jKDiAD,Burna Boy,Evergreen,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,hip-hop
59194,59194,0BhIaqQwmn9mbG9pCuIMDs,Alphaxone,Dystopian Gate,Hollow Lands,6,325859,False,0.121,0.139,0,-24.034,1,0.0366,0.111,0.854,0.107,0.0393,96.548,3,iranian
31814,31814,1KeZgPUr54C8iz3FjqzVoz,The Chainsmokers,Memories...Do Not Open,Young,61,224773,False,0.615,0.564,9,-6.384,1,0.0291,0.0105,0.0,0.148,0.454,103.006,4,electro
27478,27478,6QwP8TsZ0XHc9L4jPiBlTg,Bladerunner,Intensity,All My Love,18,330927,False,0.47,0.842,4,-1.628,0,0.0355,0.00303,0.851,0.126,0.0619,175.055,4,drum-and-bass
21591,21591,58lDrxTmWYvZvPZyKJhJQ0,El Shaaki;Dibujo Mc;Filip Mota,Is Back,No Me Rendiré,31,186976,False,0.579,0.697,1,-4.467,0,0.238,0.123,0.0,0.165,0.745,171.917,4,dancehall
46882,46882,3mBE6qF7xAtX1d740felqr,Scooter,Groundhog Day (The Mixes),Groundhog Day - Extended Mix,17,284903,False,0.555,0.992,5,-5.04,1,0.143,0.00131,0.00596,0.245,0.1,154.982,4,happy
95999,95999,4cEfC1MDCnMswjZ8oDLwjP,Nelson Y Sus Estrellas,Nelson & Sus Estrellas,Payaso,28,206786,False,0.609,0.447,5,-12.874,1,0.0373,0.581,0.000133,0.213,0.959,104.276,4,salsa
88744,88744,19ND1bszT9c5uT9qRyctmj,Snow;John Ficarrotta,Rap Geek,Lonely Monday Morning - John Ficarrotta Remix,0,260972,False,0.796,0.827,7,-8.868,1,0.183,0.111,0.00164,0.364,0.762,94.156,4,reggae
80740,80740,102YVYHLNfgkfQP3qvDqsD,D. Imman;VV Prassanna;Vandana Srinivasan,Rummy (Original Motion Picture Soundtrack),Koodamela Koodavechi,58,300373,False,0.694,0.695,4,-5.035,0,0.0276,0.324,0.0,0.177,0.668,120.057,4,pop-film
40532,40532,0YrumRvg1wc46dQ0R3xGGN,Gerson Rufino,Harpa Cristã,Oh Jesus Me Ama,40,270806,False,0.573,0.554,7,-4.694,1,0.0249,0.677,0.0,0.214,0.413,105.011,4,gospel
16333,16333,200gL9XQL8v2qF7aMPEJqf,Claude Debussy;Jean-Rodolphe Kars,Classical Music for the Background: Debussy,"Préludes / Book 1, L. 117: 8. La fille aux cheveux de lin",50,150440,False,0.285,0.00464,3,-38.222,0,0.0435,0.995,0.844,0.0582,0.216,72.32,3,classical
37204,37204,3IEYo3YVx9m17Jr8ZM4qSp,Snoop Dogg;DJ Drama,Gangsta Grillz: I Still Got It,No Half Steppin,5,212101,True,0.758,0.682,10,-6.386,0,0.204,0.041,0.0,0.178,0.545,157.04,4,funk
8449,8449,3wkzTnvK7AZX0oEB7LrvUJ,Celso Blues Boy,Por um Monte de Cerveja,Por um Monte de Cerveja,41,232698,False,0.613,0.878,4,-5.731,1,0.0313,0.00777,9.2e-05,0.168,0.902,129.991,4,blues
48351,48351,46Xnj8vZFwOZCE4aZNXlTf,Crystal Castles;Robert Smith,(II),Not In Love - Radio Version,61,226986,False,0.477,0.98,7,-4.204,0,0.0887,0.000834,0.00963,0.357,0.199,135.902,4,hardcore
37941,37941,0E2Tf1I1vrjbkE8sjB17Uh,Dj Wesley Gonzaga,"Mtg - Antes de Me Conhecer, Até Neymar de Cara","Mtg - Antes de Me Conhecer, Até Neymar de Cara",42,156461,True,0.633,0.641,10,-1.777,1,0.454,0.71,0.000491,0.14,0.59,83.804,3,funk
26873,26873,08SinRCEAjqdUhKGEAwMnV,Germaine Franco,Encanto (Deutscher Original Film-Soundtrack),Onkel Bruno,18,143133,False,0.0649,0.0335,5,-19.322,1,0.0409,0.967,0.921,0.127,0.0355,69.174,3,disney
67082,67082,1a4UteUQkqUIOr3YQQ20fD,Feid,Feliz Cumpleaños con Perreo,Si Te La Encuentras Por Ahí,2,191506,False,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,latin
99266,99266,0gOz9JUXsaKVzLTSmFDtdo,Jess Benko,"Do You Love Me, or Are You Just Lonely?",A Soulmate Who Wasn’t Meant to Be,71,316556,False,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,3,singer-songwriter
79010,79010,07WYO7Aayv3woZrmGeXbwT,OneRepublic,Mirando las nubes,Good Life,3,255693,True,0.636,0.708,6,-7.057,1,0.0512,0.0818,0.0,0.117,0.662,94.987,4,piano
87321,87321,5kNCog1amNsI8z2iD5634p,Raul Seixas,O Dia Em Que A Terra Parou,O dia em que a terra parou,45,265306,False,0.55,0.729,2,-13.779,1,0.148,0.089,0.0,0.0462,0.344,113.295,4,r-n-b
71963,71963,67w1cb9ESAnCGJkC9hW2nO,Avenged Sevenfold,Waking The Fallen,I Won't See You Tonight Part 1,55,538333,False,0.4,0.719,7,-5.109,0,0.0492,0.000451,0.00581,0.218,0.101,129.505,4,metal
77913,77913,3iOlhZ5YJCaZm4K6VWlmNQ,Grupo Revelação;Suel,Revela Samba Beach (Primeira Onda),Aventureiro / Duvido / Já Tentei,41,374978,False,0.449,0.68,10,-7.27,1,0.0494,0.762,0.0,0.853,0.669,88.875,4,pagode
82110,82110,0V8SWgdKA0BWydzwQflZAY,Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),Sweet Tuesday Morning - Remastered 2010,52,150786,False,0.509,0.396,2,-13.505,0,0.0296,0.738,7.9e-05,0.121,0.486,78.046,4,power-pop
89801,89801,5EnCFISDzoIMWMaicJxxX9,Becky G,Lovin' So Hard,Lovin' So Hard,46,221453,False,0.603,0.828,9,-5.664,1,0.0505,0.0616,3.26e-05,0.138,0.551,77.5,4,reggaeton
92928,92928,5h7t3xeHdfDthaqIF0fn3q,Eikichi Yazawa,TEN YEARS AGO (50th Anniversary Remastered),ミスター・ギブソン (セルフカバー) - Remastered 2022,22,160200,False,0.585,0.825,5,-8.653,0,0.0484,0.00398,1.5e-05,0.14,0.773,115.266,4,rockabilly
6045,6045,3MBcaBv5QE0r93kFG9PWfG,Samael,Ceremony of Opposites,Flagellation,24,221546,False,0.353,0.973,1,-6.297,1,0.0787,1.31e-05,0.708,0.104,0.286,118.021,4,black-metal
68422,68422,7bO42EBeTY998hkz8AFxpd,Alejo;Feid;ROBI,Halloween con perreito,Pantysito,0,240413,True,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4,latino
73428,73428,5gnMzDgj5vXba6k55MnWHl,Booka Shade;Monastetiq,More! 2020 Remixes,Bad Love - Monastetiq Remix,31,420500,False,0.817,0.76,8,-8.447,1,0.0556,0.00727,0.524,0.182,0.0766,122.0,4,minimal-techno
93364,93364,1vNamT7fPcHPQdYCFMiXoI,Oleg Pogudin,Я сохраню слова любви,Дремлют плакучие ивы,1,177800,False,0.295,0.0736,2,-23.546,0,0.0416,0.886,0.0166,0.114,0.243,73.922,4,romance
9849,9849,1nq949J6RDPrlBkTXrhqnx,Frejat,Só as Melhores do Pop Rock Brasileiro,Segredos,0,233533,False,0.581,0.731,7,-5.189,1,0.0289,0.192,0.0,0.405,0.579,127.58,4,brazil
39072,39072,0MtRspmmNTRJa4Ebd2AMuN,Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,german
73212,73212,5CI4uc5U66KH9g4nklN2JO,Oxia,Domino Remixes,Domino - Rework Edit,50,222416,False,0.725,0.855,1,-9.101,0,0.0435,0.0017,0.921,0.076,0.123,126.034,4,minimal-techno
3586,3586,6Yp3K2cy35hXnWQFE1yWrJ,The Knocks;Dragonette,Mellow Electronic Pop,Slow Song,0,253723,False,0.77,0.743,6,-3.251,1,0.0299,0.0205,0.0003,0.144,0.843,123.014,4,alternative
103617,103617,4RlQGwLKkrQVIlPAPlOgGE,Ravyn Lenae,All Bops,Sticky,0,196754,False,0.713,0.846,4,-6.712,0,0.0537,0.0339,0.000381,0.106,0.572,120.021,4,soul
3616,3616,40ozK0lCJ0EQzVGWsCNUhk,Leeland,Better Word (Live),Way Maker - Live,67,503240,False,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956,4,alternative
30218,30218,6Pgkp4qUoTmJIPn7ReaGxL,Avicii;Sandro Cavazza,AVĪCI (01),Without You (feat. Sandro Cavazza),78,181672,True,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,4,edm
19185,19185,6YUqd1sWWp76BZoESbew59,Blake Shelton,Perfect Christmas Hits,Jingle Bell Rock,0,123400,False,0.65,0.736,0,-5.222,1,0.0378,0.122,0.0,0.0998,0.595,129.941,4,country
31913,31913,1RGasjWLZ4qMN7wbtkLa3u,Billie Eilish,dont smile at me,my boy,74,170852,False,0.692,0.394,11,-8.745,0,0.207,0.472,0.000191,0.117,0.324,89.936,4,electro
30868,30868,2DAVD5mqfsRCI4mOg5md1R,Duke Dumont,Beginner Ride (Sweat & Burn),Ocean Drive,0,206320,False,0.67,0.776,8,-4.091,0,0.047,0.00388,0.000189,0.122,0.624,115.034,4,edm
31048,31048,5mvAPEp2FA2myWJAE1FYt3,Billie Eilish,Halloween Party 2022,you should see me in a crown,0,180566,False,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,4,electro
24414,24414,7KrnK6HIbnwree958kKLQ1,Juan Atkins;Moritz Von Oswald,Borderland,Electric Garden,9,786423,False,0.615,0.136,1,-16.673,1,0.0753,0.183,0.926,0.203,0.185,120.009,4,detroit-techno
44219,44219,7aySoZnwt7c6lA54qVVUOk,Nickelback,Dark Horse,Never Gonna Be Alone,62,227026,False,0.544,0.802,4,-4.152,1,0.0282,0.00155,7.34e-05,0.122,0.59,130.022,4,grunge
99995,99995,171luCSfSTBnaIVnfTVbS6,Melike Şahin,Merhem: İlk Konserler (Live),Nasır (Live @ Zorlu PSM),42,269354,False,0.551,0.478,10,-10.58,0,0.0378,0.526,0.0,0.288,0.523,98.056,4,singer-songwriter
42655,42655,30ghUwB9ayk1KTX2lTXPLx,ACxDC,Satan is King,Propaganda of the Deed,11,87392,False,0.223,0.93,8,-3.491,1,0.125,0.000177,0.749,0.308,0.37,148.513,4,grindcore
97245,97245,4Fy1QMRB2OSE6IUk90y05z,Mayck & Lyan,Chuva no Pantanal,Chuva no Pantanal,50,199821,False,0.617,0.67,2,-6.552,0,0.0352,0.668,0.0,0.685,0.478,112.028,3,sertanejo
68837,68837,2gKszD1ri5gGONhTuwil9A,31 Minutos,"31 Minutos, Ratoncitos",Mr. Guantecillo - Hermanos Computadores de Paine,41,141026,False,0.65,0.872,9,-5.814,0,0.28,0.473,0.0,0.559,0.568,139.151,4,latino
27553,27553,4R1ucIN3cgWBcHxbeSmgzB,DJ Zinc;Chris Lorenzo,Gammy Elbow,Gammy Elbow,49,195000,False,0.838,0.737,11,-5.094,0,0.155,0.00138,0.897,0.123,0.799,130.024,4,drum-and-bass
63044,63044,61202Zzk9rk4bPMZLh2gr6,Allman Brothers Band,Fiesta temática 60s,Trouble No More,0,227751,False,0.556,0.567,9,-11.426,0,0.0333,0.0577,0.00144,0.0907,0.856,141.348,4,j-rock
5337,5337,2ZJ28Rm7OXMYJshLtp5uff,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,A Town with an Ocean View,59,180333,False,0.524,0.345,7,-15.659,1,0.0261,0.489,0.013,0.342,0.771,106.621,4,anime
41516,41516,18S33odAheWBHbVAefiRLM,HammerFall,Any Means Necessary,Last Man Standing,59,270233,False,0.533,0.803,2,-6.702,0,0.0376,0.0447,0.0,0.392,0.165,109.998,4,goth
11162,11162,4xmq2DFdbkwVqimOKQGZU7,Samm Henshaw,The World Is Mine (Whole World Ahead),The World Is Mine (Whole World Ahead),57,175627,False,0.565,0.905,6,-4.396,1,0.149,0.108,0.0,0.378,0.79,98.038,4,british
42400,42400,1hcBMT4ND8JiZ2oozF2mLi,Gadget,The Funeral March,H5N1,13,63173,False,0.172,0.927,3,-7.259,0,0.114,4.09e-06,0.835,0.436,0.118,122.615,4,grindcore
113462,113462,34yDNxPkPxzG0tkpyIfHJD,Hillsong Young & Free,All Of My Best Friends,All My Life - Live,37,235880,False,0.261,0.265,0,-9.515,1,0.0327,0.726,0.0,0.673,0.134,84.344,4,world-music
111224,111224,4EgGFRir6rg8sUSZewSrSg,FKA twigs;Dystopia,CAPRISONGS,which way (feat. dystopia),48,122146,False,0.699,0.556,9,-8.075,1,0.27,0.203,6.82e-06,0.336,0.263,88.504,4,trip-hop
37718,37718,4GEw8k3OPOxWWnH31V7YGS,WC no Beat;Felp 22;MC Marks;Vulgo FK;Caio Passos,Nesse Instante (feat. Vulgo FK & Caio Passos),Nesse Instante (feat. Vulgo FK & Caio Passos),44,182509,False,0.685,0.579,5,-6.369,0,0.104,0.223,0.0,0.0814,0.583,131.573,4,funk
88422,88422,0sfZaySLY1p3e2YhRpZ1Ef,Danny Ocean,La Fine dell'Estate,Volare,3,147598,False,0.753,0.733,0,-3.715,1,0.056,0.253,0.0,0.398,0.156,92.064,4,reggae
35080,35080,2xhWefJZRsd4aHxhsSiUYg,Jorge De Altinho,20 Super Sucessos: Jorge de Altinho,Confidências,48,182068,False,0.704,0.821,9,-9.442,1,0.0332,0.0404,0.0,0.157,0.967,126.073,4,forro
20302,20302,3uwnnTQcHM1rDqSfA4gQNz,Demi Lovato,Confident,Cool for the Summer,81,214739,True,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4,dance
78545,78545,1K7x1fONfIj7gwGVX6OrHR,Michelle,Tabu (Deluxe),Dieses andere Gefühl,30,211480,False,0.696,0.848,11,-4.359,1,0.0504,0.184,0.0,0.248,0.429,122.988,4,party
15843,15843,6mvjHs3ARC10teeMFZ4kh5,Zachary Knowles,feelings,blue bird,51,221076,False,0.597,0.266,3,-8.973,1,0.028,0.805,0.0,0.128,0.352,129.981,4,chill
24955,24955,01EEDndCqYapk8IjMqbWDa,Inner City;Steffanie Christi'an,Believe,Believe,5,164886,False,0.688,0.918,11,-5.735,0,0.0378,0.0138,4.05e-05,0.11,0.735,125.005,4,detroit-techno
51275,51275,2109dBho14Lqh2wr8goqAP,Anirudh Ravichander;Shweta Mohan,Thangamagan (Original Motion Picture Soundtrack),Enna Solla - The New Life of Tamizh,62,215999,False,0.621,0.515,5,-9.019,1,0.0453,0.616,0.000137,0.11,0.657,109.891,4,hip-hop
94861,94861,77BtsDoCb5ETdAc0AMzXkq,YSB Tril,HOTSHOT,HOTSHOT,40,137109,True,0.901,0.665,8,-4.337,0,0.0858,0.0106,0.0,0.0797,0.873,99.991,4,sad
52370,52370,6A4dYk5yPuDGe2xX3VhP8a,George Jones;Trisha Yearwood,Bradley Barn Sessions,Bartender Blues,13,234360,False,0.513,0.288,7,-13.097,1,0.026,0.572,0.0,0.107,0.401,79.621,3,honky-tonk
12613,12613,1lM4cYuhJHSsDRfD0ZCRN7,Eason Chan,陳奕迅 國語精選 (HQCDII),你的背包,45,238693,False,0.571,0.554,4,-7.539,1,0.0297,0.337,0.000118,0.0878,0.334,125.989,4,cantopop
13499,13499,2ho1su7JEdLuddsnvfH8pD,Gershon Jackson;Reset Preset,Glitterbox - Pump The Boogie!,Hands Together - House of Omni Hands Together Extended Club Mix,9,396503,False,0.64,0.779,5,-6.338,0,0.0826,0.000526,0.571,0.11,0.69,126.054,4,chicago-house
63007,63007,28DlaPydCnrs8NxYOnUPZ8,BLUE ENCOUNT,Q.E.D,ポラリス,65,224213,False,0.534,0.941,8,-2.561,1,0.077,0.00204,0.00615,0.102,0.573,95.008,4,j-rock
65435,65435,3TZ7NHkMT82AhwuYsd00Hz,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Your eyes tell,68,245146,False,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923,4,k-pop
25123,25123,1b0V8VyZD9XyyXYQG0lN5K,Four Tops,Classic Christmas 2022,Have Yourself A Merry Little Christmas,0,230706,False,0.409,0.322,0,-9.226,1,0.0255,0.647,0.0,0.347,0.191,80.164,4,disco
59324,59324,5SB0bNYWi2mSprkqxDVRnc,Najand,The November Revolution,Taoon,0,55680,False,0.311,0.854,10,-3.875,0,0.0552,0.213,0.469,0.932,0.136,104.129,4,iranian
89379,89379,0cZPaB4GUe0mfx1KXr6FBR,Don Omar,Perreo en Halloween,Guaya Guaya,4,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,reggaeton
41451,41451,5fV4Y8X5c4sIHouyq7E5gA,HIM,Razorblade Romance / Deep Shadows & Brilliant Highlights,Join Me - Razorblade Mix,49,216733,False,0.637,0.673,8,-6.966,0,0.0297,0.0164,2.35e-05,0.115,0.588,113.795,4,goth
12817,12817,2nwGMPelxFGIhJqZeNdp4z,Hins Cheung,Morph,靈魂相認,45,268692,False,0.559,0.366,1,-9.208,1,0.0373,0.835,0.0,0.0689,0.259,111.651,4,cantopop
75394,75394,5eeompgjGjxTOAjApMvq3Z,Tony O'Connor,Aqua Zone,Ningaloo,24,538466,False,0.684,0.306,4,-16.069,0,0.033,0.925,0.861,0.794,0.152,119.986,4,new-age
8235,8235,3IUpuyEMIgt4GvEZ2TqERF,Chuck Berry,Jingle Bell Rock 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
71088,71088,4eCQkJy0Gq9i5lQqOJcVKN,Avenged Sevenfold,Metal Lives!,Hail to the King,0,305906,False,0.58,0.916,3,-4.357,0,0.0387,0.000295,0.0255,0.126,0.68,118.002,4,metal
77295,77295,2cynkyn1tRlilsW1yUWv6P,Zeca Pagodinho,Zeca Pagodinho,Seu Balancê,49,224133,False,0.525,0.671,5,-8.167,0,0.0587,0.694,0.0,0.106,0.86,93.13,4,pagode
89185,89185,22V0rqyOn48nni9e9Ct5mR,Anuel AA;KAROL G,Bájale como 7500,Secreto,2,258799,False,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,4,reggaeton
